Exp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2025,'060290090',118,  ,KG,0,17281,47969,0,837,2286,0,1047,3561,0,1850,6275,0,1899,4273,0,1189,4355,0,1592,3801,0,1895,4802,0,1709,4067,0,2232,5377,0,977,3126,0,1162,3462,0,892,2584
2,2025,'060290090',123,  ,KG,0,15346,240353,0,1282,20232,0,2283,36860,0,1311,51267,0,1333,18630,0,842,13347,0,1707,31510,0,1029,14656,0,1215,10655,0,981,9957,0,1184,9226,0,827,11567,0,1352,12446
2,2025,'060290090',125,  ,KG,0,24860,97478,0,1300,6165,0,3845,13209,0,4888,14779,0,2172,7515,0,2530,8145,0,1817,5685,0,1318,6067,0,948,7487,0,1414,7039,0,1551,7825,0,1833,8450,0,1244,5112
2,2025,'060290090',133,  ,KG,0,727,25771,0,4,1618,0,80,1969,0,115,636,0,64,5045,0,0,0,0,20,3619,0,0,0,0,242,6212,0,5,2040,0,185,986,0,0,0,0,12,3646
2,2025,'060290090',143,  ,KG,0,364,2752,0,0,0,0,0,0,0,58,1129,0,0,0,0,80,627,0,0,0,0,226,996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'060290090',204,  ,KG,0,2732,17038,0,125,993,0,115,936,0,120,974,0,145,1050,0,960,2897,0,95,748,0,200,1623,0,150,1134,0,397,3277,0,130,994,0,145,1100,0,150,1312
2,2025,'060290090',205,  ,KG,0,122,4188,0,0,0,0,0,0,0,32,1883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2305,0,0,0,0,0,0,0,0,0
2,2025,'060290090',206,  ,KG,0,324,3652,0,0,0,0,0,0,0,154,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,2741,0,0,0,0,0,0
2,2025,'060290090',207,  ,KG,0,98769,569591,0,7569,47437,0,10815,64697,0,11749,68877,0,22569,98166,0,10450,69845,0,5517,34884,0,3125,22994,0,2165,17418,0,4160,31477,0,6425,35634,0,9881,51457,0,4344,26705
2,2025,'060290090',208,  ,KG,0,468,3623,0,0,0,0,0,0,0,299,2434,0,0,0,0,106,628,0,0,0,0,0,0,0,0,0,0,0,0,0,63,561,0,0,0,0,0,0
2,2025,'060290090',210,  ,KG,0,1999,5159,0,0,0,0,0,0,0,3,568,0,1866,2292,0,88,506,0,0,0,0,2,510,0,0,0,0,0,0,0,0,0,0,40,1283,0,0,0
2,2025,'060290090',213,  ,KG,0,4256,57511,0,0,0,0,120,3083,0,626,2393,0,84,1999,0,82,3129,0,41,2138,0,54,696,0,110,1028,0,0,0,0,1750,32084,0,829,6183,0,560,4778
2,2025,'060290090',218,  ,KG,0,239430,207183,0,10359,9629,0,18958,13296,0,11665,16918,0,42414,31653,0,72682,51458,0,1051,4785,0,4450,3064,0,12200,3371,0,32674,16262,0,14408,21926,0,17186,28729,0,1383,6092
2,2025,'060290090',220,  ,KG,0,4875,44872,0,409,2146,0,123,2547,0,272,3605,0,693,4345,0,1054,13704,0,330,2501,0,686,3987,0,146,1666,0,50,2350,0,40,456,0,880,4810,0,192,2755
2,2025,'060290090',223,  ,KG,0,722,9202,0,0,0,0,0,0,0,16,2393,0,32,1552,0,0,0,0,193,1751,0,109,734,0,0,0,0,91,1516,0,281,1256,0,0,0,0,0,0
2,2025,'060290090',227,  ,KG,0,28,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,345
2,2025,'060290090',230,  ,KG,0,235,2003,0,60,580,0,0,0,0,0,0,0,150,1198,0,0,0,0,0,0,0,0,0,0,25,225,0,0,0,0,0,0,0,0,0,0,0,0
2,2025,'060290090',234,  ,KG,0,1420,2602,0,0,0,0,0,0,0,340,607,0,540,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,1294,0,0,0,0,0,0
2,2025,'060290090',245,  ,KG,0,240,16589,0,0,0,0,0,0,0,0,0,0,80,4067,0,3,316,0,95,4481,0,9,357,0,0,302,0,40,2818,0,12,3989,0,1,259,0,0,0
2,2025,'060290090',304,  ,KG,0,4793,70651,0,278,4267,0,602,10253,0,189,9972,0,800,12557,0,1473,9317,0,509,4025,0,24,1667,0,137,2930,0,62,1503,0,105,3927,0,354,4506,0,260,5727
2,2025,'060290090',305,  ,KG,0,64753,66963,0,0,0,0,617,7411,0,17000,6960,0,30,3340,0,14432,6289,0,14,678,0,187,3648,0,16650,23229,0,15750,10200,0,27,2168,0,0,0,0,46,3040
2,2025,'060290090',306,  ,KG,0,252738,103355,0,33331,12827,0,75,392,0,20686,12300,0,514,2862,0,16366,8138,0,20643,7468,0,832,5224,0,20747,6556,0,81959,26074,0,57323,19438,0,192,1192,0,70,884
2,2025,'060290090',311,  ,KG,0,428961,119217,0,27740,9964,0,24585,5192,0,44190,11863,0,50238,12475,0,23285,4581,0,24525,5919,0,6556,7852,0,23000,3515,0,51578,14252,0,28366,10919,0,78898,25101,0,46000,7584
2,2025,'060290090',401,  ,KG,0,5243,41078,0,99,1207,0,180,2219,0,361,3633,0,166,1644,0,2015,8594,0,860,1979,0,404,3463,0,76,1860,0,245,3669,0,231,3748,0,323,5264,0,283,3798
2,2025,'060290090',406,  ,KG,0,1236,9072,0,515,4749,0,234,1321,0,0,0,0,223,1205,0,50,365,0,34,411,0,0,0,0,0,0,0,150,672,0,0,0,0,0,0,0,30,349
2,2025,'060290090',407,  ,KG,0,226,15068,0,0,0,0,69,227,0,28,3270,0,0,0,0,30,2847,0,0,0,0,31,2843,0,0,0,0,0,0,0,34,2841,0,0,0,0,34,3040
